view_id,show_id,views_millions,watch_hours_millions,region,device_type,completion_rate
V170,1d78ddb8-6,74.41,382.64,Asia,Laptop,51.88
V171,56dda41c-4,105.33,220.65,Asia,Mobile,30.93
V172,9cfaf1e3-8,150.67,146.95,North America,Tablet,94.98
V173,dd21cb1a-f,199.51,528.88,South America,Tablet,33.2
V174,06841b95-7,14.21,413.8,North America,Laptop,29.71
V175,a1a36e04-3,11.99,94.9,Asia,TV,95.53
V176,b1eed147-e,147.67,19.81,Europe,Tablet ,94.32
V177,b1d45a3a-4,154.86,265.45,Europe,TV,50.73
V178,1088667e-a,194.83,202.67,South America,Laptop,35.34
V179,b985b8c5-0,33.04,339.68,South America,Tablet,20.44
V180,38027a9f-5,161.97,88.43,South America,Tablet,36.04
V181,4aafd4f5-d,172.82,210.62,Asia,Mobile,28.67
V182,f7c804fb-c,1.56,66.32,Asia,Tablet,44.93
V183,7d7e16e0-b,173.92,561.43,Asia,Mobile,36.46
V184,c1a29169-1,120.97,171.25,Europe,Tablet,59.46
V185,6bd240ff-f,63.68,390.27,north america,Laptop,88.21
V186,64e34a0e-a,51.39,59.51,Europe,TV,61.85
V187,ce5828cd-9,155.17,463.59,Europe,Tablet,34.63
V188,7644dec1-4,31.41,127.8,South America ,Laptop,58.73
V189,77f8c5f2-c,33.61,573.44,South America,Tablet,29.49
V190,9036ef32-9,140.99,97.7,South America,Tablet,78.84
V191,e67c565f-5,186.81,385.83,North America,Tablet,44.68
V192,655e7d13-1,189.61,1.03,Asia,Mobile,65.69
V193,21266eb5-8,180.6,147.5,North America,TV,48.2
V194,11b15a4a-f,85.16,504.43,Europe,TV,56.69
V195,,123.5,192.55,Asia,TV,88.32
V196,e24ad57d-a,42.67,47.14,South America,Laptop,54.25
V197,3d39d6d4-a,129.52,340.81,South Am3rica,Laptop,59.86
V198,f487699a-8,98.31,221.12,South America,Mobile,31.29
V199,e789055b-d,190.31,195.81,Europe,Mobile,84.98
V200,d9772e4d-9,199.77,302.21,Asia,TV,28.73
V201,198bb79a-0,193.17,22.4,Asia,TV,83.64
V202,f37e059b-9,49.04,149.38,North America,TV,78.61
V203,616e9ca3-0,74.92,450.94,North America,TV,70.32
V204,dcadab15-a,46.49,,Europe,TV,49.83
V205,b9c2499b-7,67.87,363.15,Asia,Mobile,62.21
V206,3548bc6b-9,71.27,295.59,South America,Tablet,43.94
V207,f5c4395d-f,153.56,18.45,Europe,Tablet,69.85
V208,b5ecb3dd-e,2.49,63.03,North America,Laptop,40.97
V209,54c6c464-8,137.05,268.79,Europe,Laptop,64.49
V210,8d0f50a8-7,35.69,444.78,Asia,TV,21.6
V211,141f13ef-a,91.18,95.62,Europe,Laptop,47.65
V212,50adddd0-4,25.19,409.1,North America,Tablet,55.48
V213,9cffc3b7-d,27.93,228.18,South America,Mobile,94.46
V214,06cd0c7c-8,103.95,273.42,North America,Laptop,85.34
V215,d76d52ec-6,82.01,96.23,South America,Laptop,55.05
V216,,194.34,439.26,Europe,TV,97.3
V217,d211c479-f,65.15,408.8,Asia,Mobile,96.49
V218,9bf00bd5-5,184.5,329.96,Europe,TV,21.66
V219,d182dba3-3,35.28,309.79,Europe,Tablet,99.3
V220,6e044633-3,60.79,257.24,North America,Mobile,90.14
V221,95ca8780-0,153.47,505.71,North America,Laptop,70.76
V222,4951b583-0,100.75,257.19,South America,Tablet,49.08
V223,1716fa8f-4,55.59,362.0,Europe,Tablet,21.55
V224,aaed186c-a,78.75,452.86,Europe,Mobile,86.94
V225,d1d5405a-1,190.59,397.17,North America,Tablet,21.73
V226,554f063c-d,77.68,489.27,North America,Tablet,78.69
V227,bcdae101-d,24.94,104.69,Europe,TV,36.72
V228,2207ce0e-e,46.51,447.63,Asia,Mobile,76.76
V229,7dce6954-7,150.44,273.65,Europe,TV,34.89
V230,734d58a0-5,188.4,40.71,North America,Tablet,39.66
V231,5d627e2a-2,197.71,435.58,South America,TV,76.05
V232,48e22835-d,24.63,232.15,North America,Laptop,98.19
V233,db1e4c56-8,74.42,510.11,Asia,Mobile,69.15
V234,ca5b9e40-e,60.36,228.0,Europe,Mobile,35.43
V235,821fdf3d-3,158.22,368.12,Europe,Mobile,24.93
V236,80663104-c,98.96,144.64,South America,Tablet,92.86
V237,52f7150b-9,6.6,201.52,Europe,Laptop,77.99
V238,a987258b-7,91.52,441.96,North America,Tablet,54.38
V239,cf82d8a9-5,23.75,79.06,South America,Mobile,36.65
V240,64235a3c-7,86.79,164.27,South America,Laptop,93.98
V241,94c7e5fa-a,150.06,4.85,North America,Mobile,31.99
V242,5653339b-b,153.91,530.66,Asia,Mobile,24.36
V243,1fd042b6-d,6.39,599.69,Europe,TV,81.86
V244,1495ebe4-1,107.91,42.0,South America,Tablet,87.45
V245,18faad8c-f,181.86,217.53,Europe,Laptop,77.38
V246,f522bb8c-b,6.26,228.64,North America,Laptop,79.52
V247,d8753448-2,62.19,98.23,Europe,Mobile,65.25
V248,9b27ccdc-e,149.77,389.28,North America,Mobile,40.97
V249,95f36ac0-8,,453.77,South America,Mobile,33.69
V250,942cb714-0,29.85,596.55,North America,TV,69.27
V251,d7a373f8-b,192.7,410.57,South America,Tablet,47.42
V252,ce9cc128-0,53.8,540.28,North America,Laptop,46.02
V253,9f73d0e3-c,56.69,116.82,South America,TV,47.31
V254,e4df1725-5,95.1,72.15,North America,Tablet,36.26
V255,86998cd6-2,136.2,,South America,TV,46.11
V256,6418e971-c,56.94,230.7,North America,Tablet,69.08
V257,e26010f4-d,181.31,476.58,South America,Laptop,52.73
V258,84bdda64-f,,443.68,Asia,TV,96.05
V259,03f9a6d8-a,153.8,78.93,North America,TV,23.78
V260,a846bdae-1,142.94,98.84,Europe,Tablet,73.82
V261,1e5fdbd0-a,72.37,425.24,Asia,Mobile,55.78
V262,2463f43b-6,68.51,227.9,Asia,Tablet,87.81
V263,72144ef7-2,22.17,83.08,Europe,,87.67
V264,3d626b83-2,112.59,198.23,North Am3rica,Laptop,64.49
V265,eca46abc-1,85.91,328.79,North America,Mobile,94.99
V266,73e9a357-f,141.72,73.7,South America,Tablet,79.89
V267,b0fe117d-d,,525.84,North America,TV,22.44
V268,af2bf3e8-e,113.23,53.62,Europe,Tablet,58.34
V269,0149d5d1-5,89.31,209.72,Europe,Laptop,91.43
V270,6a311fc0-3,55.39,297.14,Asia,Laptop,95.4
V271,f726f109-a,134.48,222.05,Europe,TV,57.89
V272,221e135d-3 ,149.71,92.96,Asia,Laptop,22.53
V273,0bbbd261-f ,183.61,444.55,Europe,Tablet,68.25
V274,38453a10-a,35.72,279.97,South America,Mobile,53.3
V275,7eb0dd2d-a,83.87,511.35,North America,TV,34.24
V276,ab5661a1-b,62.15,204.15,South America,Mobile,57.6
V277,f7ad3314-f,94.53,569.81,Europe,TV,48.7
V278,39a304bb-6,48.33,490.72,South America,Tablet,44.06
V279,38d17052-4,170.53,194.45,Europe,Tablet,97.35
V280,328e22b4-8,138.81,458.3,Europe,Mobile,83.52
V281,f94e543b-6,56.25,397.4,Asia,Tablet,74.71
V282,88eb7a9e-f,83.43,158.97,Europe,Mobile,81.06
V283,7c1f2656-9,11.66,220.54,North America,Mobile,44.49
V284,98eb1b23-d,26.08,429.97,North America,Mobile,44.08
V285,996ddeab-5,38.99,571.45,Europe,TV,53.88
V286,3a9b51fe-5,125.67,371.7,South America,Mobile,34.89
V287,ffb89ec6-1,92.03,525.73,Europe,Mobile,42.2
V288,0a73216e-8,36.89,71.43,North America,Tablet,42.37
V289,829aa269-8,116.51,200.31,South America,Laptop,58.42
V290,3cb096f3-d,194.33,426.94,South America,Tablet,41.32
V291,66216b78-4,124.41,16.15,Europe,Tablet,23.84
V292,983e507c-2,84.61,521.48,Europe,Tablet,66.31
V293,56cc5186-8,156.23,303.65,North America,TV,82.81
V294,dd11995e-c,179.24,549.0,Asia,Mobile,54.32
V295,5085331c-b,112.3,208.39,North America,Mobile,90.96
V296,fba7cd17-4,195.5,243.55,Europe,Mobile,98.78
V297,9d3d373b-5,155.92,277.17,Asia,Laptop,42.95
V298,d8c70be2-2,115.07,355.11,North America,Tablet,82.45
V299,8bc2acd5-8,98.06,384.07,Europe,Tablet,71.11
V300,6fd6a3d0-e,127.35,374.24,Europe,Laptop,49.35
V301,45ec9db1-9,147.62,13.16,Asia,Laptop,28.13
V302,1c397e26-c,162.53,438.12,Asia,Tablet,54.96
V303,8ebbe7fe-f,164.53,587.5,Europe,Laptop,75.26
V304,9a6be27a-9,65.42,469.64,Asia,Mobile,99.91
V305,84377585-1,141.75,92.58,Asia,Laptop,26.19
V306,6b023406-2,151.17,569.37,Asia,Laptop,21.8
V307,3363f5be-d,50.16,478.3,Europe,Tablet,87.24
V308,ff0b2cdc-b,76.8,218.94,South America,TV,83.32
V309,a9d7c2f7-9,10.02,542.59,North America,Tablet,38.6
V310,872927c1-1,16.97,,Europe,TV,75.42
V311,27ebd85e-5,9.26,182.31,Europe,TV,52.85
V312,c44aed88-c,13.22,90.85,Asia,Tablet,53.33
V313,49b8cba4-a,68.29,128.47,Europe,Laptop,92.29
V314,e6748a82-f,123.59,198.13,South America,TV,31.95
V315,69965a67-2,55.02,538.62,North America,Mobile,86.1
V316,7c10c316-0,136.18,463.34,Europe,Mobile,46.76
V317,3b93c8de-d,25.0,165.4,South America,Tablet,59.4
V318,068f9ec8-8,128.68,323.74,Europe,TV,51.29
V319,1fc5aef4-f,6.31,265.73,Asia,Mobile,30.73
V320,50d18d62-1,57.83,244.51,Europe,Mobile,27.8
V321,06422bd7-2,53.1,80.65,South America,Tablet,44.74
V322,e2ee695b-d,175.14,344.68,South America,Laptop,
V323,3c544c1e-1,141.92,135.57,Europe,Mobile,
V324,383c7589-7,112.95,283.38,Asia,Laptop,62.53
V325,e6bf5f87-6,187.45,149.78,North America,Laptop,67.25
V326,6bf91685-e,89.13,,Europe,Laptop,59.97
V327,facbdabe-e,21.16,303.46,Europe,Mobile,29.18
V328,c1b22260-2,96.06,178.75,south america,Tablet,49.32
V329,16b6bcb3-b,134.77,234.77,Asia,Laptop,63.22
V330,3654a71a-7,3.85,219.31,South America,TV,98.22
V331,ae6bc03d-c,55.01,153.42,North America,Laptop,67.42
V332,8212f99f-1,140.32,85.2,Asia,Tablet,27.42
V333,989e0463-4,14.6,246.41,Europe,Tablet,27.05
V334,faceda23-3,181.4,200.04,Europe,Tablet,98.85
V335,5bd411b7-4,175.59,18.05,Asia,Laptop,92.42
V336,66c27d35-2,56.58,456.95,Europe,Laptop,47.54
V337,d8a231ca-d,91.84,329.19,South America,Tablet,80.71
V338,b3f7f173-3,50.84,530.16,Asia,Laptop,22.74
V339,08773496-c,88.36,133.02,North America,Tablet,24.49
V340,ad89c36c-d,186.21,301.96,Europe,Tablet,40.0
V341,2475980e-4,34.3,206.87,South America,Tablet,50.97
V342,1e38846e-9,99.36,328.87,North America,Mobile,52.67
V343,56f51e43-d,67.86,274.66,South America,TV,86.31
V344,55b74b4f-9,77.12,12.72,Europe,Mobile,68.82
V345,b055340b-b,198.68,501.35,Asia,Laptop,90.44
V346,eafb271e-5,102.05,16.88,Asia,Mobile,58.64
V347,21752939-c,106.43,10.09,Asia,Mobile,46.67
V348,41dbab94-7,8.94,285.73,Europe,Tablet,60.11
V349,33d656d1-b,157.7,388.45,North America,Tablet,47.86
V350,772e15cd-1,30.75,358.69,North America,Mobile,79.64
V351,80121fbd-5,150.24,557.02,South America,Laptop,47.7
V352,c14fa1c5-3,138.5,320.66,South America,Mobile,82.09
V353,cde58862-9,139.58,239.94,South America,Tablet,87.74
V354,822fd1d7-e,51.69,443.03,North America,Laptop,43.38
V355,ec33ff2f-0,42.36,204.16,North America,Tablet,32.93
V356,46b3283d-4,197.42,312.44,North America,Mobile,85.64
V357,86b982ef-c,82.56,209.13,Europe,Mobile,95.15
V358,fe8efed9-8,69.61,467.42,South America,Tablet,40.52
V359,ae999c13-a,28.93,534.51,North America,Laptop,59.39
V360,7bed974e-8,47.47,242.89,Europe,Tablet,55.36
V361,2fa77e4c-8,104.67,280.39,South America,Tablet,24.55
V362,e651e7cc-5,146.65,478.51,south america,Tablet,95.38
V363,6e35e60c-f,190.08,451.13,North America,Tablet,20.36
V364,a700db57-6,67.17,484.83,Asia,Tablet,85.91
V365,102c5e55-2,129.16,245.33,Europe,Laptop,63.36
V366,ba6bbdf5-4,19.72,18.14,,Laptop,20.23
V367,15aac47d-2,191.36,262.19,Asia,Tablet,78.73
V368,9a4706bf-8,9.27,450.82,South America,Laptop,73.25
V369,d434c972-d,178.9,185.74,,Tablet,44.57
V370,352d122b-c,103.49,354.03,Europe,TV,
V371,e87562d5-9,102.23,489.61,North America,Mobile,92.92
V372,3273f8af-0,22.43,150.92,South America,Laptop,91.85
V373,aa585c2a-5,90.43,481.71,South America,Tablet,59.33
V374,411077ef-9,20.2,491.64,Europe,Mobile,37.64
V375,68362805-c,97.58,,Asia,TV,51.07
V376,312edb6b-b,79.93,,South America,Laptop,41.92
V377,fcebaff4-0,70.03,532.32,North America,Laptop,53.33
V378,63ae39fc-6,131.6,560.69,Europe,,39.58
V379,1bf4124d-0,172.29,362.31,North America,Mobile,38.87
V380,f21e36d0-2,149.75,370.54,Asia,Laptop,41.68
V381,a17f0eaa-3,148.26,22.83,Asia,Mobile,37.58
V382,03d1ffcc-7,52.65,460.59,North America,Tablet,79.23
V383,afd04d21-5,139.93,22.74,Europe,TV,26.69
V384,,64.06,40.04,Asia,Tablet,70.24
V385,70339683-e,91.35,415.28,Europe,TV,52.6
V386,12425078-7,111.31,275.79,North America,TV,94.27
V387,8a3ae8cc-1,107.39,152.85,Europ3,TV,92.46
V388,c1e0cedc-6,106.22,138.34,Asia,Mobile,41.65
V389,f2c4c9e9-7,99.65,98.97,North America,Tablet,86.88
V390,b3d12596-a,154.53,325.29,South America,Laptop,82.43
V391,908bc189-0,78.33,39.3,South America,Tablet,54.85
V392,a6d8ced6-7,180.75,418.06,Europe,Mobile,50.42
V393,d5c1c0a7-6,132.18,254.06,Europe,TV,34.06
V394,784c7178-1,150.36,4.79,South America,laptop,51.2
V395,33409f4e-7,6.79,459.41,Europe,TV,68.37
V396,4e8b87ca-6,180.17,340.12,Asia,Laptop,66.14
V397,e20d26f9-0,174.74,190.91,Asia,Mobile,29.79
V398,17bf17e5-1,109.4,494.19,South America,Laptop,89.88
V399,46a08d5b-0,79.49,381.39,Europe,TV,44.98
V400,0c5b1b0a-3,53.19,511.56,Europe,Mobile,64.0
V401,ec4088ea-4,190.44,149.97,Europe,TV,35.4
V402,c7bdcb52-3,44.18,100.64,South America,Mobile,76.21
V403,3c9cdb61-a,1.25,593.42,North America,Mobile,82.82
V404,0d874332-d,197.34,298.31,Asia,Tablet,42.44
V405,07f13d2a-e,74.28,541.65,Asia,TV,73.9
V406,8acb2853-6,134.28,182.36,South America,Mobile,74.53
V407,4f393b9d-d,82.82,66.5,North America ,tablet,90.6
V408,a29dc2a1-9,62.5,180.05,Europe,TV,
V409,b2f0b4af-1,35.21,577.3,South America,Tablet,47.88
V410,e1722323-9,100.19,370.38,North America,TV,62.81
V411,37c1d357-3,139.35,538.71,Europe,TV,47.57
V412,31c16402-2,85.66,494.52,North America,Mobile,97.6
V413,3479a7bc-a,105.71,160.95,Asia,Mobile,32.96
V414,4419c7ac-e,34.3,20.33,North America,Tablet,41.89
V415,cd2a440b-c,,56.28,South America,TV,64.87
V416,0fa69204-e,69.13,404.39,South America,Tablet,32.97
V417,859b1329-b,8.56,598.11,Europe,Laptop,71.34
V418,e4e4f8d2-c,133.61,227.34,North America,Tablet,32.05
V419,d45dc77e-f,191.78,308.55,Asia,Mobile,69.59
V420,289a93a5-5,25.05,336.91,Europe,Laptop,74.6
V421,1398aacc-e,112.03,92.73,South America,Mobile,63.3
V422,6ff0b815-4,115.95,9.51,Asia,Laptop,95.28
V423,a79dbd3a-4,114.28,65.54,South America,Tablet,68.95
V424,7a06aa5d-2,68.02,192.24,Asia,Mobile,99.37
V425,3c940fc6-b,124.59,36.1,Europe,TV,91.43
V426,ba3836cf-4,178.21,154.63,Europe,Tablet,56.06
V427,ccd525ba-2,106.86,326.68,Asia,Laptop,75.23
V428,9ff139c7-e,128.27,535.19,South America,TV,29.76
V429,28519078-3,56.02,172.34,Asia,Mobile,74.68
V430,433990b1-c,30.28,427.56,North America,TV,80.46
V431,b4dfb272-f,34.77,328.17,North America,TV,95.78
V432,5ac2ea5d-1,144.22,521.99,North America,Mobile,94.6
V433,4851525e-8,,141.43,Asia,Laptop,79.71
V434,50c27dec-6,187.68,520.42,Europe,Laptop,92.81
V435,0830641f-d,14.72,16.17,North America,TV,22.95
V436,7587b572-8,88.71,453.68,North America,TV,31.71
V437,9abeb45e-7,99.47,189.8,North America,Laptop,63.95
V438,af6aa078-5,92.64,584.93,Europe,Tablet,68.75
V439,fba724f4-b,32.84,63.62,South America,TV,76.39
V440,c4edc221-e,66.63,79.42,North America,Laptop,71.01
V441,f7f129ca-2,151.34,7.85,North America,Mobile,49.96
V442,b1a4b0f7-2,177.62,591.21,Asia,Tablet,73.62
V443,60ed03a5-c,31.45,305.6,South America,TV,51.23
V444,2a7e5594-4,70.19,139.35,North America,TV,48.24
