show_id,title,type,release_year,genre,rating,director,country,language,date_added,imdb_score,budget_millions,age_certification
cc1e3b3a-3,Can run specific,TV Show,2021,Horror,TV-14 ,Ronald Johnson,Canada,Hindi,2019-03-23,7.2,264.69,Adult
e7a2e8e4-9,Support support final believe,Movie,2002,Thriller,R,Jeanne Roth,Japan,English,2019-05-01,5.9,263.06,Teen
780401fa-a,Significant sing both,TV Show,2002,Horror,PG-13,Elizabeth Pope,United States,Korean,2022-08-27,1.6,149.33,All
fa578228-5,Born pick money,TV Show,2007,Thriller,PG-13,Stephanie Oneal,South Korea,Hindi,2020-04-19,5.6,11.09,All
5952c2e5-e,Picture skill book investment,TV Show,2006,Sci-Fi,PG,Miranda George,United Kingdom,Spanish,2022-05-11,4.5,156.57,Adult
c00dad6b-f,Cold address,Movie,2009,Drama,TV-14,Lisa Meyers,Canada,Hindi,2024-05-27,5.1,132.7,Adult
35270b9b-d,Buy partner,Movie,1995,Animation,R,Michelle Matthews,United States,Korean,2022-03-03,1.0,76.88,Kids
5f683f67-c,Must agree phone,Movie,2003,Romance,G,Erika Page,Japan,Hindi,2019-05-09,2.5,65.85,Teen
23fed625-c,Official image question,Movie,2008,Drama,TV-MA,Andrew Hicks,France,Japanese,2023-12-28,4.5,211.5,Adult
88828cbf-4,Ball but economy,TV Show,1999,Romance,PG-13,Hailey Barrett,United States,Japanese,2025-07-19,6.8,259.83,Adult
2f41c7de-f,Field,TV Show,2012,Thriller,R,Lydia Young,India,Spanish,2025-02-25,1.8,5.3,Kids
f1ecb2cc-1,Recognize across current,Movie,2001,Thriller,G,Jessica Myers,Japan,Korean,2023-11-11,9.9,120.4,Teen
e0c22165-f,Finish song whose,TV Show,2011,Comedy,R,Jacqueline Nichols,,Korean,2019-09-23,4.3,75.86,Teen
4764bb48-d,Even natural,TV Show,1982,Sci-Fi,PG-13,Summer Dorsey,South Korea,English,2025-04-17,2.6,50.6,Adult
46df49af-8,Since meeting house,TV Show ,2025,Animation,TV-14,Whitney Hughes,South Korea,Spanish,2025-09-14,7.6,296.6,Teen
3c883579-6,Understand,TV Show,1982,Sci-Fi,TV-14,Natalie Cross,South Korea,English,2019-11-29,9.8,120.44,Kids
2bcd3b51-c,Set notice group,TV Show,2014,Drama,TV-14,Michael Horn,United Kingdom,Hindi,2021-10-03,9.1,59.46,Adult
9a8b523d-8,Today open strategy,Movie,1995,Action,TV-14,Patricia Wilkins,South Korea,Korean,2021-04-24,1.9,37.88,Adult
11dfd4b4-5,Democratic usually,TV Show,2007,Sci-Fi,TV-14,Melissa Davis,United Kingdom,Hindi,2018-12-18,4.2,243.64,Adult
58155c4b-6,About seven most,TV Show,1984,Drama,G,Larry Marsh,United Kingdom,French,2018-04-24,4.4,,All
88f39bd3-7,Fact effect wide,TV Show,2001,Comedy,R,Jeffrey Quinn,South Korea,Korean,2018-09-15,7.7,134.3,All
b80bbe5d-d,Hospital can,TV Show,2024,Romance,R,Robert Moran,Canada,Japanese,2024-07-13,2.8,19.23,Adult
767c2098-f,Involve yourself surface,Movie,1989,Sci-Fi,TV-14,Christian Marshall,India,Spanish,2024-11-17,3.9,215.87,Adult
d9dfd4ca-f,International person,Movie,2013,Sci-Fi,TV-14,Mr. Lance Martinez,India,Korean,2019-03-22,1.5,65.13,All
83ebb0cd-9,Him campaign small,Movie,2008,Sci-Fi,TV-MA,Cassandra Vasquez,Japan,French,2024-11-12,7.6,168.3,Teen
21eeda93-6,Red sense,TV Show,2015,Animation,PG-13,Taylor Shaw,Japan,Hindi,2023-12-23,9.2,99.1,All
408131f3-3,Nor clearly reach,Movie,1994,Sci-Fi,R,Monica Jones,India,Spanish,2022-08-01,6.8,35.46,Kids
c08afc0a-6,Sound first,Movie,2013,Documentary,TV-14,Erin Olson,United States,French,2020-03-24,3.2,248.71,Kids
9ab25994-8,Morning effect find,TV Show,2021,Action,PG,Michael Hill,United States,Japanese,2022-12-11,1.8,143.18,Adult
42e11db8-0,Very theory amount,Movie,1999,Horror,TV-MA,Randy Jones,South Korea,Hindi,2022-09-15,1.2,143.23,Kids
71c2c85f-6,Central training,Movie,2016,Thriller,R,Leah Jordan,United Kingdom,French,2020-08-31,1.7,250.36,Teen
22176108-b,Forget traditional,TV Show,2010,Romance,TV-14,Christina Gillespie,United Kingdom,Korean,2023-09-18,8.3,123.73,Adult
02017a24-1,Opportunity tonight also resource,TV Show,1993,Horror,TV-14,Patricia Gomez,Canada,Spanish,2018-03-05,5.6,232.0,Teen
0907c3b3-2,Letter who recently,TV Show,1994,Thriller,G,Jeffrey Webb,France,Korean,2024-10-04,5.0,289.99,Kids
fd2f2f5c-7,Type tell,TV Show,1982,Animation,PG,Jonathan Jones,France,Japanese,2021-05-13,8.1,182.7,Adult
201535db-e,Than Democrat,TV Show,1980,Documentary,R,Randy Jones,South Korea,Hindi,2022-10-28,1.0,8.94,Kids
49984064-1,Use room,TV Show,1992,Thriller,G,Daniel Goodwin,United Kingdom,French,2020-07-07,8.3,21.89,Kids
29b34174-0,Dark entire,Movie,2005,Action,R,Ronald Johnson,India,Japanese,2023-09-20,4.9,89.16,All
6d1367f5-2,Himself organization fund,TV Show,1983,Comedy,G,Madison Payne,India,Korean,2020-01-13,9.2,48.88,Teen
051cd833-b,Which picture consumer,TV Show,2023,Animation,G,Sheila Douglas,France,Japanese,2021-01-28,7.3,252.55,Adult
5a59a318-a,Former total,Movie,1980,Animation,G,Douglas Arellano,United States,Korean,2023-09-26,6.1,89.98,All
60ee23ae-1,Up decide,Movie,2010,Drama,TV-MA,Kimberly Steele,France,Japanese,2023-08-24,1.4,227.49,All 
f51ef5d3-b,Whose current office,Movie,1984,Horror,TV-14,Lindsay Reynolds,India,Hindi,2018-06-30,4.6,295.04,Teen
c26f4aea-4,Place operation act,TV Show,2019,Documentary,TV-MA,Nicole Smith,France,Korean,2023-04-01,9.1,84.73,Adult
0386c037-f,New remember,TV Show,1981,Action,R,Ms. Melissa Wilkerson MD,Canada,Korean,2018-10-23,2.9,103.13,Adult
b54033f7-2,Poor guy,TV Show,1986,Drama,PG,Lisa Moon,United Kingdom,Japanese,2018-05-25,4.5,,Kids
a435e612-b,Admit important low,TV Show,2009,Comedy,R,Timothy Horton,Canada,Korean,2021-12-06,5.7,213.74,All
5634e4b4-8,Least least own,TV Show,1993,Animation,TV-14,Jessica Williams MD,South Korea,Japanese,2021-12-01,4.6,90.44,Adult
e65bfc98-6,Herself certain ,Movie,1999,Animation,PG,David Rogers,United States,French,2024-10-10,6.8,190.62,All
3ac20ea0-9,Environment capital,TV Show,2001,Animation,TV-MA,Olivia Brown,Canada,Korean,2025-12-24,9.0,129.06,Teen
7cf887de-c,Thought wall if president,Movie,2000,Sci-Fi,TV-MA,Eric English,India,Japanese,2019-09-14,8.8,20.9,Teen
9ac890b8-c,Everything government decade,Movie,2004,Sci-Fi,R,Nicholas Ward,United States,French,2018-04-14,6.4,289.5,Adult
0099bd6d-7,May rich,TV Show,1992,Animation,R,Cody Martin,India,English,2024-04-03,2.0,235.64,Teen
ab09f1fd-8,Several station risk,Movie,2006,Sci-Fi,TV-MA,Amanda Noble,United Kingdom,Hindi,2019-02-28,1.2,22.58,Adult
2f5208f5-4,Hope player hit,Movie,1988,Documentary,R,Natalie Cross,India,Japanese,2020-03-30,7.5,216.32,Adult
a854669b-e,Church pass,TV Show,1992,Animation,PG,Lindsay Thompson,Japan,English,2022-12-17,4.2,132.94,Teen
68bf60c7-8,Whose someone special turn,TV Show,1980,Drama,TV-14,Alicia Perry,France,Spanish,2019-01-27,8.5,99.18,All
89931b32-2,Significant tax,TV Show,1986,Action,TV-MA,Jose Walker,South Korea,Hindi,2024-01-29,7.5,241.83,Adult
a1c7207a-9,Along,Movie,1993,Thriller,TV-MA,James Lopez,India,English,2021-06-28,8.4,122.93,Adult
97ed0f49-c,Rich our safe,Movie,2000,Thriller,PG-13,Robert Smith,South Korea,Spanish,2018-09-13,2.1,58.91,Teen
71b341af-e,Baby consumer throw,TV Show,2022,Romance,PG,Mercedes Vega,France,Japanese,2018-07-24,,128.89,Adult
be70afea-4,Group move instead,TV Show,2024,Animation,G,Victoria Joseph DDS,United Kingdom,Hindi,2018-03-26,5.4,56.73,Adult
974d9e53-b,Hair thing get,TV Show,2024,Drama,PG-13,Aaron Calhoun,India,Spanish,2022-12-07,7.6,198.57,Kids
2bb86449-8,Either sense,TV Show,2008,Sci-Fi,TV-14,Chris Turner,United Kingdom,English,2019-11-12,9.0,85.24,Adult
b9d804cc-0,Fight agent,Movie,1987,Horror,TV-MA,Kimberly Turner,France,Hindi,2019-12-18,5.8,209.14,All
e1afffa0-f,Ground whom perform figure,Movie,1984,Animation,PG-13,Dana Rowe,France,French,2020-07-25,4.4,237.42,Adult
c5a5ac1d-3,Modern land toward,TV Show,2003,Comedy,TV-MA,Meghan Hopkins,France,French,2022-04-13,1.6,23.47,Kids
289497f9-a,Place until perform two,TV Show,1988,Drama,PG,Sharon Taylor,Canada,Korean,2020-04-12,5.4,105.6,Kids
8a720e3c-3,Certain this someone,TV Show,2017,Documentary,R,Emily Adams,France,Hindi,2025-05-25,6.4,169.38,Kids
807280d5-2,Mouth chance letter,Movie,1985,Documentary,PG-13,Amanda Simpson,India,French,2021-03-29,6.9,99.16,Kids
f9b4e3aa-0,Entire mission,TV Show,2021,Animation,G,Kimberly Steele,France,English,2020-02-01,3.6,100.53,All
5c345baf-e,Tv particularly,Movie,1994,Horror,R,Travis Gonzalez,Canada,Korean,2021-04-18,5.2,69.69,Adult
218bdb66-a,Result woman,Movie,2008,Thriller,TV-MA,John Camacho,Canada,French,2019-02-20,4.2,23.98,Teen
9b26f58c-e,Wonder whole short image,Movie,1986,Horror,R,Tara Moore,United States,French,2023-08-11,6.8,88.23,Adult
e913be69-3,Imagine provide good,Movie,1980,Sci-Fi,TV-14,Beverly Johnson,South Korea,Spanish,2024-11-01,3.4,275.49,Kids
b5770310-3,,Movie,2005,Romance,R,Jessica Williams MD,Japan,English,2023-10-29,3.6,236.54,Kids
f92ca2ca-d,Into,TV Show,1998,Action,TV-14,Christine Rhodes,India,Japanese,2023-02-06,7.6,192.2,Teen
d5539d4d-8,Use challenge,TV Show,2011,Animation,PG,Lisa Jordan,Japan,Hindi,2019-07-08,,146.61,Kids
89dd4ed9-5,War,TV Show,2018,Animation,PG-13,Crystal Warren,South Korea,Hindi,2018-06-12,5.7,295.04,Kids
b47af1d2-9,Hope exist,Movie,1987,Documentary,PG,John Weaver,South Korea,French,2023-11-17,9.4,288.66,Kids
573ad3ae-a,In issue,Movie,1981,Drama,TV-14,Jeremy Scott,United Kingdom,Korean,2018-08-06,8.6,89.07,Kids
c9172ca4-7,Nature attack,Movie,2022,Documentary,PG-13,Jennifer Bishop,France,French,2024-01-03,1.2,78.62,All
d19caa50-b,Upon success,TV Show,2017,Horror,PG-13,Jessica Johnston,Canada,Korean,2019-08-13,7.4,115.15,Kids
99e7a860-8,Box attention no,Movie,2019,Horror,TV-MA,Cory Foley,United Kingdom,Korean,2025-06-09,8.2,255.6,Adult
deca544d-1,Act large relationship,TV Show,2024,Animation,R,Ann Walker,United States,Japanese,2018-09-26,9.8,84.2,Kids
0008281c-4,House interesting think trial,TV Show,2007,Action,PG,Robert Lee Jr.,Japan,English,2019-03-24,5.0,195.78,All
65f8db3a-1,Both door,TV Show,1982,Comedy,PG,Michael May,United Kingdom,Spanish,2020-05-13,1.4,194.17,Teen
3f7f44e8-7,Tend assume property color,TV Show,2008,Action,PG-13,Natalie Cross,United Kingdom,Spanish,2018-05-26,8.4,87.98,Kids
8fce9a98-f,Size bring consider,Movie,2016,Action,TV-14,,,French,2022-06-07,4.8,204.34,Kids
1d78ddb8-6,Herself half support,Movie,2015,Comedy,G,Amber Young,Japan,Japanese,2021-07-01,4.4,100.57,Adult
56dda41c-4,Main company,Movie,2020,Comedy,TV-MA,James Lopez,India,Korean,2023-06-22,3.2,248.89,Kids
9cfaf1e3-8,Sing,Movie,1987,Drama,TV-14,Christina Smith,Japan,French,2025-05-27,7.2,229.47,Kids
dd21cb1a-f,Knowledge effort thus,TV Show,2015,Comedy,TV-MA,Laura Lopez,United States,Korean,2021-03-17,4.9,221.69,Kids
06841b95-7,Usually either,Movie,2014,Horror,TV-14,Philip Kelley,,Korean,2018-09-26,9.0,193.29,Adult
a1a36e04-3,Large site ok,Movie,2022,Action,R,James Stephens,France,English,2019-10-23,4.1,5.04,Kids
b1eed147-e,Picture result subject,Movie,2015,Drama,PG,Christopher Williams,South Korea,Hindi,2018-03-13,5.8,265.1,All
b1d45a3a-4,Environment above,Movie,2009,Documentary,TV-MA,Jeffrey Webb,Canada,English,2022-07-30,4.2,259.71,All
1088667e-a,Cause why man admit,Movie,2003,Horror,TV-14,Stephanie Lopez,Japan,French,2024-06-15,9.2,259.07,Teen
b985b8c5-0,Event,Movie,1984,Horror,G,Cassandra Vasquez,United Kingdom,Korean,2023-06-30,9.4,108.84,Adult
38027a9f-5,Second look statement,TV Show,1989,Action ,R,Jesse Flores,Japan,English,2020-11-20,6.1,49.17,Adult
4aafd4f5-d,Approach player nor,Movie,1982,Action,G,Ricky Strickland,United States,Hindi,2022-10-19,4.6,94.22,All
f7c804fb-c,Doctor,TV Show,1981,Horror,TV-14,Richard Esparza,Japan,Spanish,2024-04-03,7.0,186.09,All
7d7e16e0-b,Foreign spring assume radio,TV Show,1988,Drama,R,Melinda Riley,United States,Japanese,2019-02-09,9.4,273.18,All
c1a29169-1,Fact affect employee,Movie,2009,Action,PG-13,Sarah Miller,France,Spanish,2021-01-24,5.6,157.18,Adult
6bd240ff-f,Friend themselves old,Movie,2023,Comedy,R,Shannon Bridges,France,Hindi,2018-09-04,6.2,209.97,Kids
64e34a0e-a,White letter,Movie,1981,Action,G,Kristina Smith,Japan,Japanese,2019-03-02,5.5,112.85,Adult
ce5828cd-9,Song including card,Movie,1993,Documentary,,Randy Jones,Canada,English,2021-06-18,9.2,97.7,Kids
7644dec1-4,Again where,TV Show,2005,Drama,TV-14,Amanda George,India,English,2025-12-08,9.2,79.1,Kids
77f8c5f2-c,Station goal election,Movie,2011,Romance,TV-MA,Summer Dorsey,Canada,,2025-04-11,2.0,237.14,Teen
9036ef32-9,Part read article,Movie,2015,Comedy,PG,Andre Arnold,India,English,2022-09-01,5.2,261.69,Adult
e67c565f-5,Although whose,TV Show,1985,Romance,PG,Dean Norris ,South Korea,Japanese,2025-02-22,5.6,27.84,All
655e7d13-1,Ahead sell check,TV Show,,Animation,TV-MA,Brenda Bauer,South Korea,English,2023-12-24,8.7,73.13,Adult
21266eb5-8,Together enjoy rule,Movie,2014,Documentary,G,Marcia Schmidt,Canada,English,2022-09-27,2.1,102.72,Kids
11b15a4a-f,High owner,Movie,2010,Comedy,PG,Gina Robinson,United Kingdom,Japanese,2024-12-31,7.4,240.39,Teen
ff7e5edc-8,Trade body,Movie,2017,Horror,G,Donna James,United States,English,2022-08-31,2.2,262.49,Kids
e24ad57d-a,Girl woman,Movie,1986,Documentary,TV-MA,James Brewer,United Kingdom,English,2024-08-21,6.7,189.5,Adult
3d39d6d4-a,Citizen impact,Movie,2014,Sci-Fi,R,Michael Rodriguez,France,Japanese,2023-07-18,3.6,226.22,Teen
f487699a-8,Protect social pull,Movie,2025,Sci-Fi,R,James Shields,United Kingdom,French,2025-09-18,7.1,98.32,Adult
e789055b-d,Mean arm oil central,TV Show,1989,Animation,PG-13,Michelle Clay,France,Spanish,2022-03-24,8.0,44.37,All
d9772e4d-9,Real stand,TV Show,1994,Animation,R,Ms. Erin Thompson,India,French,2021-04-03,3.0,167.06,Adult
198bb79a-0,Western drop serious,Movie,1995,Comedy,PG,Leonard Schwartz,United Kingdom,Japanese,2019-12-25,6.9,95.67,All
f37e059b-9,Day stay,Movie,2009,Romance,PG,,Canada,Japanese,2021-08-07,1.3,35.51,Adult
616e9ca3-0,Top,Movie,1987,Animation,G,Nicole Brown,India,Hindi,2025-10-10,3.7,237.44,Teen
dcadab15-a,Forget,TV Show,1985,Documentary,TV-14,Scott Lee,Canada,Spanish,2020-04-17,4.4,277.77,Kids
b9c2499b-7,Safe rest tonight,Movie,2023,Horror,r,Cynthia Cruz,France,Korean,2023-12-30,1.3,280.12,Kids
3548bc6b-9,Determine operation,TV Show,2014,Animation,TV-MA,Melanie Anderson,South Korea,Hindi,2022-01-15,4.7,120.87,Teen
f5c4395d-f,Statement general prevent,Movie,2016,Sci-Fi,G,Bryan Wagner,South Korea,English,2022-12-26,6.8,211.8,
b5ecb3dd-e,Protect over,TV Show,1998,Documentary,TV-14,Jeremy Duran,Canada,Korean,2018-11-18,1.9,254.55,Teen
54c6c464-8,City rise himself,Movie,2016,Documentary,G,Bradley Massey,United States,Korean,2019-07-04,9.6,287.14,Adult
8d0f50a8-7,Cultural,TV Show,2018,Comedy,PG-13,John Weaver,United Kingdom,Spanish,2021-11-25,9.8,204.12,All
141f13ef-a,Kitchen service piece,TV Show,2022,Drama,G,Patricia Gomez,Canada,English,2019-08-23,9.4,297.33,Adult
50adddd0-4,Physical hour growth,TV Show,,Horror,G,Stephanie Lopez,United Kingdom,English,2018-03-24,9.6,191.86,All
9cffc3b7-d,Cost under structure,Movie,1989,Documentary,R,Janice Osborne,Canada,Korean,2025-08-20,4.1,,Teen
